央视频道-深圳移动,#genre#
CCTV1,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227558&HlsProfileId=
CCTV2,http://120.198.234.197:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227600&HlsProfileId=
CCTV3,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227602&HlsProfileId=
CCTV4,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227637&HlsProfileId=
CCTV5,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227604&HlsProfileId=
CCTV6,http://120.198.234.197:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227606&HlsProfileId=
CCTV7,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227648&HlsProfileId=
CCTV8,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227571&HlsProfileId=
CCTV9,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227565&HlsProfileId=
CCTV10,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227559&HlsProfileId=
CCTV11,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227596&HlsProfileId=
CCTV12,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227560&HlsProfileId=
CCTV13,http://120.198.234.197:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227598&HlsProfileId=
CCTV14,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227564&HlsProfileId=
CCTV15,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227593&HlsProfileId=
CCTV16,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227840&HlsProfileId=
CCTV17,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227566&HlsProfileId=
卫视频道-深圳移动,#genre#
安徽卫视,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227539&HlsProfileId=
北京科教,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227543&HlsProfileId=
贵州卫视,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227547&HlsProfileId=
河北卫视,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227551&HlsProfileId=
四川卫视,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227555&HlsProfileId=
东方卫视,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227575&HlsProfileId=
东南卫视,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227576&HlsProfileId=
湖北卫视,http://120.198.234.197:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227579&HlsProfileId=
海南卫视,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227580&HlsProfileId=
江西卫视,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227581&HlsProfileId=
河南卫视,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227584&HlsProfileId=
内蒙古卫视,http://120.198.234.197:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227587&HlsProfileId=
山东教育,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227591&HlsProfileId=
深圳卫视,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227595&HlsProfileId=
兵团卫视,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227605&HlsProfileId=
黑龙江卫视,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227609&HlsProfileId=
北京卫视,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227610&HlsProfileId=
甘肃卫视,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227612&HlsProfileId=
江苏卫视,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227613&HlsProfileId=
广西卫视,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227614&HlsProfileId=
湖南卫视,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227616&HlsProfileId=
辽宁卫视,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227617&HlsProfileId=
吉林卫视,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227618&HlsProfileId=
厦门卫视,http://120.198.234.197:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227621&HlsProfileId=
宁夏卫视,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227624&HlsProfileId=
陕西卫视,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227625&HlsProfileId=
青海卫视,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227626&HlsProfileId=
山东卫视,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227628&HlsProfileId=
新疆卫视,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227629&HlsProfileId=
山西卫视,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227630&HlsProfileId=
天津卫视,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227632&HlsProfileId=
西藏卫视,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227634&HlsProfileId=
浙江卫视,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227638&HlsProfileId=
云南卫视,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227641&HlsProfileId=
重庆卫视,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227642&HlsProfileId=
其它频道-深圳移动,#genre#
CETV1,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227589&HlsProfileId=
CETV2,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227633&HlsProfileId=
CETV3,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227603&HlsProfileId=
CNTV,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227650&HlsProfileId=
纪实科教,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227543&HlsProfileId=
金鹰纪实,http://120.198.234.198:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227583&HlsProfileId=
哈哈炫动,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227599&HlsProfileId=
咪视界频道-深圳移动
至臻视界4K,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227890&HlsProfileId=
咪视界4K,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227894&HlsProfileId=
睛彩青少,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227929&HlsProfileId=
睛彩竞技,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227849&HlsProfileId=
睛彩篮球,http://120.198.234.194:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227856&HlsProfileId=
啵啵赛事,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227853&HlsProfileId=
啵啵电竞,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227866&HlsProfileId=
咪视界1,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227678&HlsProfileId=
咪视界2,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227827&HlsProfileId=
咪视界3,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227831&HlsProfileId=
咪视界4,http://120.198.234.195:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227835&HlsProfileId=
咪视界5,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227839&HlsProfileId=
咪视界6,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227843&HlsProfileId=
咪视界7,http://120.198.234.196:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227847&HlsProfileId=
咪视界8,http://120.198.234.199:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227851&HlsProfileId=
咪视界9,http://120.198.234.197:8088/000000001001/1.m3u8?cmcc_cid=PLTV/651/224/3221227855&HlsProfileId=
